时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-14 12:15,8.3410,2.0670,10.4080,19.86%
2025-10-14 12:30,7.7180,65.2850,73.0030,89.43%
2025-10-14 13:00,160.8940,7.6990,168.5930,4.57%
2025-10-14 13:15,311.3990,703.8080,1015.2070,69.33%
2025-10-14 13:30,1234.4610,1107.9670,2342.4280,47.30%
2025-10-14 13:45,1508.4020,1507.0590,3015.4610,49.98%
2025-10-14 14:00,957.2510,1058.9750,2016.2260,52.52%
2025-10-14 14:15,330.2960,240.1220,570.4180,42.10%
2025-10-14 14:30,2754.9560,2180.8670,4935.8230,44.18%
2025-10-14 14:45,3468.0130,3639.9950,7108.0080,51.21%
2025-10-14 15:00,1618.5550,1685.3810,3303.9360,51.01%
2025-10-14 15:15,1326.0360,1318.1200,2644.1560,49.85%
2025-10-14 15:30,2224.4030,2096.2150,4320.6180,48.52%
2025-10-14 15:45,1423.5230,1432.9010,2856.4240,50.16%
2025-10-14 16:00,1196.0620,1422.8690,2618.9310,54.33%
2025-10-14 16:15,908.8830,1130.5740,2039.4570,55.44%
2025-10-14 16:30,975.4730,1209.1810,2184.6540,55.35%
2025-10-14 17:45,24.8110,29.5080,54.3190,54.32%
2025-10-14 18:00,73.7900,41.4230,115.2130,35.95%
