时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-13 11:30,217.9660,211.6880,429.6540,49.27%
2025-10-13 11:45,209.2940,223.7470,433.0410,51.67%
2025-10-13 12:00,22.5940,44.8660,67.4600,66.51%
2025-10-13 12:15,577.4930,619.4370,1196.9300,51.75%
2025-10-13 12:30,402.1040,354.8150,756.9190,46.88%
2025-10-13 12:45,1575.6040,1604.6600,3180.2640,50.46%
2025-10-13 13:00,619.7520,623.4150,1243.1670,50.15%
2025-10-13 13:15,481.0700,598.7670,1079.8370,55.45%
2025-10-13 13:30,556.1780,701.5400,1257.7180,55.78%
2025-10-13 13:45,359.2740,437.0330,796.3070,54.88%
2025-10-13 14:00,461.0480,535.7950,996.8430,53.75%
2025-10-13 14:15,145.6640,352.1110,497.7750,70.74%
2025-10-13 14:30,802.5410,900.9100,1703.4510,52.89%
2025-10-13 14:45,666.3420,944.4200,1610.7620,58.63%
2025-10-13 15:00,1061.2530,1222.5400,2283.7930,53.53%
2025-10-13 15:15,4.7860,20.7390,25.5250,81.25%
2025-10-13 15:30,0.6110,8.2930,8.9040,93.14%
2025-10-13 15:45,13.2160,8.8360,22.0520,40.07%
