时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-13 11:35,241.2900,195.7270,437.0170,44.79%
2025-10-13 11:40,217.9660,211.6880,429.6540,49.27%
2025-10-13 11:45,404.8330,359.1300,763.9630,47.01%
2025-10-13 11:50,468.3730,315.5260,783.8990,40.25%
2025-10-13 11:55,209.2940,223.7470,433.0410,51.67%
2025-10-13 12:00,184.0600,241.1510,425.2110,56.71%
2025-10-13 12:05,184.1170,182.1560,366.2730,49.73%
2025-10-13 12:10,22.5940,44.8660,67.4600,66.51%
2025-10-13 12:15,80.8830,104.6450,185.5280,56.40%
2025-10-13 12:20,297.7630,347.3940,645.1570,53.85%
2025-10-13 12:25,198.8470,167.3980,366.2450,45.71%
2025-10-13 12:35,107.9180,80.3300,188.2480,42.67%
2025-10-13 12:40,294.1860,274.4850,568.6710,48.27%
2025-10-13 12:45,780.5120,697.3620,1477.8740,47.19%
2025-10-13 12:50,594.8770,648.5020,1243.3790,52.16%
2025-10-13 12:55,200.2150,258.7960,459.0110,56.38%
2025-10-13 13:00,204.2310,226.0290,430.2600,52.53%
2025-10-13 13:05,231.7640,212.7220,444.4860,47.86%
2025-10-13 13:10,183.7570,184.6640,368.4210,50.12%
2025-10-13 13:15,248.1290,330.9780,579.1070,57.15%
2025-10-13 13:20,176.2180,178.0980,354.3160,50.27%
2025-10-13 13:25,56.7230,89.6910,146.4140,61.26%
2025-10-13 13:30,167.7710,211.5570,379.3280,55.77%
2025-10-13 13:35,263.7950,335.8810,599.6760,56.01%
2025-10-13 13:40,124.6120,154.1020,278.7140,55.29%
2025-10-13 13:45,187.1270,241.2620,428.3890,56.32%
2025-10-13 13:50,126.4160,135.8780,262.2940,51.80%
2025-10-13 13:55,45.7310,59.8930,105.6240,56.70%
2025-10-13 14:00,227.4910,206.3740,433.8650,47.57%
2025-10-13 14:05,169.8530,255.2390,425.0920,60.04%
2025-10-13 14:10,63.7040,74.1820,137.8860,53.80%
2025-10-13 14:15,96.5370,185.7980,282.3350,65.81%
2025-10-13 14:20,0.5480,0.6650,1.2130,54.82%
2025-10-13 14:25,48.5790,165.6480,214.2270,77.32%
2025-10-13 14:30,420.5190,462.5720,883.0910,52.38%
2025-10-13 14:35,189.5180,298.9840,488.5020,61.20%
2025-10-13 14:40,192.5040,139.3540,331.8580,41.99%
2025-10-13 14:45,205.6150,220.0390,425.6540,51.69%
2025-10-13 14:50,222.4420,503.1890,725.6310,69.35%
2025-10-13 14:55,238.2850,221.1920,459.4770,48.14%
2025-10-13 15:00,211.9720,271.3790,483.3510,56.15%
2025-10-13 15:05,399.7560,298.2320,697.9880,42.73%
2025-10-13 15:10,449.5250,652.9290,1102.4540,59.23%
2025-10-13 15:15,74.2640,80.9330,155.1970,52.15%
2025-10-13 15:20,14.1600,11.5900,25.7500,45.01%
2025-10-13 15:25,4.7860,20.7390,25.5250,81.25%
2025-10-13 15:30,14.0560,48.5090,62.5650,77.53%
2025-10-13 15:35,125.7940,107.2970,233.0910,46.03%
2025-10-13 15:40,0.6110,8.2930,8.9040,93.14%
2025-10-13 15:45,13.2160,8.8360,22.0520,40.07%
