时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-13 13:29,6.1440,3.6610,9.8050,37.34%
2025-10-13 13:30,30.5890,20.1830,50.7720,39.75%
2025-10-13 13:31,24.7750,30.8510,55.6260,55.46%
2025-10-13 13:32,24.4370,30.4720,54.9090,55.50%
2025-10-13 13:33,47.4030,44.0970,91.5000,48.19%
2025-10-13 13:34,40.5670,85.9540,126.5210,67.94%
2025-10-13 13:35,80.6640,82.4200,163.0840,50.54%
2025-10-13 13:36,61.8400,77.3430,139.1830,55.57%
2025-10-13 13:37,65.3830,96.5250,161.9080,59.62%
2025-10-13 13:38,46.5100,61.2440,107.7540,56.84%
2025-10-13 13:39,9.3980,18.3490,27.7470,66.13%
2025-10-13 13:40,46.5000,60.3930,106.8930,56.50%
2025-10-13 13:41,11.9550,31.0020,42.9570,72.17%
2025-10-13 13:42,11.9010,29.5110,41.4120,71.26%
2025-10-13 13:43,38.6140,8.7600,47.3740,18.49%
2025-10-13 13:44,15.6420,24.4360,40.0780,60.97%
2025-10-13 13:45,42.6340,58.9690,101.6030,58.04%
2025-10-13 13:46,72.6110,86.9240,159.5350,54.49%
2025-10-13 13:47,31.1580,39.5290,70.6870,55.92%
2025-10-13 13:48,11.4610,19.2500,30.7110,62.68%
2025-10-13 13:49,29.2630,36.5900,65.8530,55.56%
2025-10-13 13:50,23.1100,22.1240,45.2340,48.91%
2025-10-13 13:51,8.3980,25.6550,34.0530,75.34%
2025-10-13 13:52,21.5430,20.4440,41.9870,48.69%
2025-10-13 13:53,53.1380,19.7220,72.8600,27.07%
2025-10-13 13:54,20.2270,47.9330,68.1600,70.32%
2025-10-13 13:55,7.6460,8.2550,15.9010,51.91%
2025-10-13 13:56,6.2800,1.9230,8.2030,23.44%
2025-10-13 13:57,15.0310,13.4620,28.4930,47.25%
2025-10-13 13:58,14.6140,13.7380,28.3520,48.46%
2025-10-13 13:59,2.1600,22.5150,24.6750,91.25%
2025-10-13 14:00,38.0820,29.5250,67.6070,43.67%
2025-10-13 14:01,40.0910,36.5190,76.6100,47.67%
2025-10-13 14:02,77.3020,22.4890,99.7910,22.54%
2025-10-13 14:03,38.3100,66.2180,104.5280,63.35%
2025-10-13 14:04,33.7060,51.6230,85.3290,60.50%
2025-10-13 14:05,18.8580,34.4770,53.3350,64.64%
2025-10-13 14:06,19.4700,74.8380,94.3080,79.35%
2025-10-13 14:07,69.6850,66.6980,136.3830,48.90%
2025-10-13 14:08,42.5010,44.0100,86.5110,50.87%
2025-10-13 14:09,19.3390,35.2160,54.5550,64.55%
2025-10-13 14:10,53.6560,66.6040,120.2600,55.38%
2025-10-13 14:14,10.0480,7.5780,17.6260,42.99%
2025-10-13 14:15,39.2090,53.8780,93.0870,57.88%
2025-10-13 14:16,47.1160,102.2470,149.3630,68.46%
2025-10-13 14:17,10.2120,29.6730,39.8850,74.40%
2025-10-13 14:21,0.5480,0.6650,1.2130,54.82%
2025-10-13 14:26,7.1010,3.1750,10.2760,30.90%
2025-10-13 14:27,13.7900,24.3710,38.1610,63.86%
2025-10-13 14:28,5.3430,35.1820,40.5250,86.82%
