时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-13 11:35,437.0170,238.0380,54.47%,110.5740,127.4640
2025-10-13 11:40,429.6540,247.3290,57.56%,132.4630,114.8660
2025-10-13 11:45,763.9630,427.9140,56.01%,230.6510,197.2630
2025-10-13 11:50,783.8990,450.3150,57.45%,191.4230,258.8920
2025-10-13 11:55,433.0410,230.4500,53.22%,124.2820,106.1680
2025-10-13 12:00,425.2110,207.4830,48.80%,115.2060,92.2770
2025-10-13 12:05,366.2730,181.0510,49.43%,101.1550,79.8960
2025-10-13 12:10,67.4600,25.4080,37.66%,21.0490,4.3590
2025-10-13 12:15,185.5280,101.0650,54.47%,60.0920,40.9730
2025-10-13 12:20,645.1570,346.3940,53.69%,209.0620,137.3320
2025-10-13 12:25,366.2450,165.4820,45.18%,88.0830,77.3990
2025-10-13 12:35,188.2480,116.7670,62.03%,40.9830,75.7840
2025-10-13 12:40,568.6710,292.6180,51.46%,150.0470,142.5710
2025-10-13 12:45,1477.8740,744.5050,50.38%,365.7390,378.7660
2025-10-13 12:50,1243.3790,553.7960,44.54%,286.0190,267.7770
2025-10-13 12:55,459.0110,202.1710,44.04%,103.7510,98.4200
2025-10-13 13:00,430.2600,223.2880,51.90%,125.7140,97.5740
2025-10-13 13:05,444.4860,237.7100,53.48%,114.9920,122.7180
2025-10-13 13:10,368.4210,203.8610,55.33%,104.8880,98.9730
2025-10-13 13:15,579.1070,305.8280,52.81%,171.7720,134.0560
2025-10-13 13:20,354.3160,210.9150,59.53%,107.7310,103.1840
2025-10-13 13:25,146.4140,76.0050,51.91%,44.8260,31.1790
2025-10-13 13:30,379.3280,193.1720,50.92%,130.2630,62.9090
2025-10-13 13:35,599.6760,303.6640,50.64%,194.2560,109.4080
2025-10-13 13:40,278.7140,140.5230,50.42%,87.1400,53.3830
2025-10-13 13:45,428.3890,233.8320,54.58%,141.1960,92.6360
2025-10-13 13:50,262.2940,153.3170,58.45%,83.8270,69.4900
2025-10-13 13:55,105.6240,50.5710,47.88%,30.1520,20.4190
2025-10-13 14:00,433.8650,215.7530,49.73%,113.0450,102.7080
2025-10-13 14:05,425.0920,224.7060,52.86%,132.5340,92.1720
2025-10-13 14:10,137.8860,64.2860,46.62%,38.5830,25.7030
2025-10-13 14:15,282.3350,145.1700,51.42%,91.7080,53.4620
2025-10-13 14:20,1.2130,0.0000,0.00%,0.0000,0.0000
2025-10-13 14:25,214.2270,114.6660,53.53%,94.1870,20.4790
2025-10-13 14:30,883.0910,394.0170,44.62%,189.6620,204.3550
2025-10-13 14:35,488.5020,277.2890,56.76%,175.9190,101.3700
2025-10-13 14:40,331.8580,143.3010,43.18%,64.5780,78.7230
2025-10-13 14:45,425.6540,183.5040,43.11%,93.5760,89.9280
2025-10-13 14:50,725.6310,341.9950,47.13%,215.4740,126.5210
2025-10-13 14:55,459.4770,206.4410,44.93%,104.6910,101.7500
2025-10-13 15:00,483.3510,219.3150,45.37%,122.7170,96.5980
2025-10-13 15:05,697.9880,387.3210,55.49%,154.4520,232.8690
2025-10-13 15:10,1102.4540,586.0740,53.16%,353.9100,232.1640
2025-10-13 15:15,155.1970,90.0290,58.01%,44.8290,45.2000
2025-10-13 15:20,25.7500,13.2520,51.46%,6.4880,6.7640
2025-10-13 15:25,25.5250,9.1000,35.65%,7.7940,1.3060
2025-10-13 15:30,62.5650,38.3530,61.30%,32.3420,6.0110
2025-10-13 15:35,233.0910,124.2100,53.29%,51.3270,72.8830
2025-10-13 15:40,8.9040,4.3340,48.67%,4.3340,0.0000
2025-10-13 15:45,22.0520,5.6570,25.65%,3.6220,2.0350
