时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-13 11:35,18.2530,4.1680,22.83%,0.0000,4.1680
2025-10-13 11:36,94.1880,48.8850,51.90%,22.0170,26.8680
2025-10-13 11:37,183.2650,95.1500,51.92%,58.0700,37.0800
2025-10-13 11:38,119.0430,77.1490,64.81%,17.8010,59.3480
2025-10-13 11:41,93.2800,53.8500,57.73%,31.5220,22.3280
2025-10-13 11:42,160.5400,102.1970,63.66%,58.6270,43.5700
2025-10-13 11:43,61.1710,30.0210,49.08%,12.2190,17.8020
2025-10-13 11:44,114.6630,61.2610,53.43%,30.0950,31.1660
2025-10-13 11:45,135.8420,76.3550,56.21%,51.6140,24.7410
2025-10-13 11:46,208.1240,127.3160,61.17%,64.2770,63.0390
2025-10-13 11:47,121.3070,58.0560,47.86%,31.5860,26.4700
2025-10-13 11:48,169.8350,87.0550,51.26%,57.1440,29.9110
2025-10-13 11:49,128.8550,79.1320,61.41%,26.0300,53.1020
2025-10-13 11:50,112.0940,66.0870,58.96%,29.3850,36.7020
2025-10-13 11:51,172.8110,109.8160,63.55%,22.0630,87.7530
2025-10-13 11:52,179.5420,87.4980,48.73%,24.3940,63.1040
2025-10-13 11:53,151.8750,99.1130,65.26%,54.6070,44.5060
2025-10-13 11:54,167.5770,87.8010,52.39%,60.9740,26.8270
2025-10-13 11:55,37.6660,21.5340,57.17%,15.3950,6.1390
2025-10-13 11:56,104.5720,61.0990,58.43%,29.4350,31.6640
2025-10-13 11:57,117.2890,59.2090,50.48%,35.1890,24.0200
2025-10-13 11:58,64.0480,23.7840,37.13%,5.5090,18.2750
2025-10-13 11:59,109.4660,64.8240,59.22%,38.7540,26.0700
2025-10-13 12:00,182.8140,89.9440,49.20%,63.5430,26.4010
2025-10-13 12:01,127.9630,62.3570,48.73%,24.8520,37.5050
2025-10-13 12:02,86.1490,39.7740,46.17%,26.0330,13.7410
2025-10-13 12:03,98.9770,50.3810,50.90%,28.3350,22.0460
2025-10-13 12:04,112.1220,54.9710,49.03%,35.9860,18.9850
2025-10-13 12:05,72.5230,30.4530,41.99%,16.8410,13.6120
2025-10-13 12:06,40.9630,15.0780,36.81%,4.8230,10.2550
2025-10-13 12:07,122.9410,73.6000,59.87%,46.0170,27.5830
2025-10-13 12:08,51.2960,20.6180,40.19%,6.7410,13.8770
2025-10-13 12:09,78.5500,41.3020,52.58%,26.7330,14.5690
2025-10-13 12:10,58.4070,27.9610,47.87%,17.0780,10.8830
2025-10-13 12:13,8.2090,1.9550,23.82%,0.0000,1.9550
2025-10-13 12:14,59.2510,23.4530,39.58%,21.0490,2.4040
2025-10-13 12:15,61.1620,28.8780,47.22%,11.0290,17.8490
2025-10-13 12:16,86.6170,45.0330,51.99%,15.7040,29.3290
2025-10-13 12:17,1.6460,1.0540,64.03%,0.0000,1.0540
