时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-13 11:30,429.6540,247.3290,57.56%,132.4630,114.8660
2025-10-13 11:45,433.0410,230.4500,53.22%,124.2820,106.1680
2025-10-13 12:00,67.4600,25.4080,37.66%,21.0490,4.3590
2025-10-13 12:15,1196.9300,612.9410,51.21%,357.2370,255.7040
2025-10-13 12:30,756.9190,409.3850,54.09%,191.0300,218.3550
2025-10-13 12:45,3180.2640,1500.4720,47.18%,755.5090,744.9630
2025-10-13 13:00,1243.1670,664.8590,53.48%,345.5940,319.2650
2025-10-13 13:15,1079.8370,592.7480,54.89%,324.3290,268.4190
2025-10-13 13:30,1257.7180,637.3590,50.68%,411.6590,225.7000
2025-10-13 13:45,796.3070,437.7200,54.97%,255.1750,182.5450
2025-10-13 14:00,996.8430,504.7450,50.63%,284.1620,220.5830
2025-10-13 14:15,497.7750,259.8360,52.20%,185.8950,73.9410
2025-10-13 14:30,1703.4510,814.6070,47.82%,430.1590,384.4480
2025-10-13 14:45,1610.7620,731.9400,45.44%,413.7410,318.1990
2025-10-13 15:00,2283.7930,1192.7100,52.22%,631.0790,561.6310
2025-10-13 15:15,25.5250,9.1000,35.65%,7.7940,1.3060
2025-10-13 15:30,8.9040,4.3340,48.67%,4.3340,0.0000
2025-10-13 15:45,22.0520,5.6570,25.65%,3.6220,2.0350
