时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-12 20:05,1949.2620,1360.7450,3310.0070,41.11%
2025-10-12 20:10,12555.2720,12351.1900,24906.4620,49.59%
2025-10-12 20:15,13181.3670,11275.9110,24457.2780,46.10%
2025-10-12 20:20,13554.2230,13977.5780,27531.8010,50.77%
2025-10-12 20:25,18260.2860,18612.2850,36872.5710,50.48%
2025-10-12 20:30,15986.5420,14309.0160,30295.5580,47.23%
2025-10-12 20:35,20447.0660,16630.5430,37077.6090,44.85%
2025-10-12 20:40,11124.9660,11894.1290,23019.0950,51.67%
2025-10-12 20:45,21577.8660,21950.8680,43528.7340,50.43%
2025-10-12 20:50,10205.1070,11031.2110,21236.3180,51.95%
2025-10-12 20:55,9286.5950,9039.9240,18326.5190,49.33%
2025-10-12 21:00,11763.6700,12345.1150,24108.7850,51.21%
2025-10-12 21:05,13653.7080,11670.6370,25324.3450,46.08%
2025-10-12 21:10,13092.3810,15356.1560,28448.5370,53.98%
2025-10-12 21:15,17922.6490,15253.1200,33175.7690,45.98%
2025-10-12 21:20,30854.3000,20540.4050,51394.7050,39.97%
2025-10-12 21:25,19303.7630,17671.9650,36975.7280,47.79%
2025-10-12 21:30,25814.7810,25673.8610,51488.6420,49.86%
2025-10-12 21:35,24582.5530,27129.0320,51711.5850,52.46%
2025-10-12 21:40,29161.2070,32734.1890,61895.3960,52.89%
2025-10-12 21:45,24840.4700,21929.8080,46770.2780,46.89%
2025-10-12 21:50,25098.6290,27945.3420,53043.9710,52.68%
2025-10-12 21:55,17748.0350,16919.2450,34667.2800,48.80%
2025-10-12 22:00,22577.9310,26403.1610,48981.0920,53.90%
2025-10-12 22:05,1832.8580,2152.8310,3985.6890,54.01%
