时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-14 14:30,229.8630,113.2050,49.25%,75.4240,37.7810
2025-10-14 14:31,122.4720,72.9900,59.60%,10.6830,62.3070
2025-10-14 14:32,177.1770,93.1700,52.59%,41.1170,52.0530
2025-10-14 14:33,736.5110,383.5880,52.08%,128.8070,254.7810
2025-10-14 14:34,581.7470,326.6280,56.15%,163.3310,163.2970
2025-10-14 14:35,238.4780,115.4990,48.43%,66.9320,48.5670
2025-10-14 14:36,133.9350,60.7930,45.39%,27.5960,33.1970
2025-10-14 14:37,244.3860,141.9980,58.10%,83.8850,58.1130
2025-10-14 14:38,120.5270,67.5010,56.00%,14.8150,52.6860
2025-10-14 14:39,150.3900,80.2120,53.34%,43.4490,36.7630
2025-10-14 14:40,146.0970,71.4590,48.91%,41.2830,30.1760
2025-10-14 14:41,551.9310,298.8610,54.15%,138.7810,160.0800
2025-10-14 14:42,335.3100,184.0160,54.88%,99.4800,84.5360
2025-10-14 14:43,685.0360,348.8810,50.93%,118.8360,230.0450
2025-10-14 14:44,481.9630,234.1530,48.58%,91.9380,142.2150
2025-10-14 14:45,355.8210,183.4090,51.55%,115.6220,67.7870
2025-10-14 14:46,881.9550,443.0610,50.24%,193.3950,249.6660
2025-10-14 14:47,975.7680,499.5630,51.20%,210.7600,288.8030
2025-10-14 14:48,900.9280,381.6770,42.36%,204.0130,177.6640
2025-10-14 14:49,369.9840,169.2110,45.73%,107.7880,61.4230
2025-10-14 14:50,430.5200,256.6660,59.62%,132.6940,123.9720
2025-10-14 14:51,443.9120,244.0030,54.97%,128.1410,115.8620
2025-10-14 14:52,572.4640,322.4970,56.33%,189.1450,133.3520
2025-10-14 14:53,738.2080,376.8000,51.04%,228.3130,148.4870
2025-10-14 14:54,535.9120,317.5410,59.25%,114.8880,202.6530
2025-10-14 14:55,235.3670,137.7920,58.54%,71.0370,66.7550
2025-10-14 14:56,161.1740,82.6660,51.29%,50.2980,32.3680
2025-10-14 14:57,230.1820,138.5530,60.19%,40.9850,97.5680
2025-10-14 14:58,185.7330,106.4680,57.32%,44.3360,62.1320
2025-10-14 14:59,90.0800,40.0490,44.46%,27.7940,12.2550
2025-10-14 15:00,183.1260,94.1340,51.40%,43.6270,50.5070
2025-10-14 15:01,240.4210,139.9080,58.19%,78.1320,61.7760
2025-10-14 15:02,326.3230,173.9130,53.29%,113.1060,60.8070
2025-10-14 15:03,164.3560,88.0300,53.56%,30.9110,57.1190
2025-10-14 15:04,282.4180,130.2160,46.11%,37.3750,92.8410
2025-10-14 15:05,238.6440,135.8340,56.92%,93.1860,42.6480
2025-10-14 15:06,328.9300,211.8770,64.41%,55.6530,156.2240
2025-10-14 15:07,261.4490,135.7880,51.94%,83.8580,51.9300
2025-10-14 15:08,245.3050,141.8190,57.81%,76.2200,65.5990
2025-10-14 15:09,200.1000,110.8890,55.42%,58.1050,52.7840
2025-10-14 15:10,198.9790,103.0700,51.80%,70.0230,33.0470
2025-10-14 15:11,170.5710,103.0860,60.44%,56.1380,46.9480
2025-10-14 15:12,171.4130,88.4880,51.62%,43.4750,45.0130
2025-10-14 15:13,117.1040,65.8130,56.20%,36.6760,29.1370
2025-10-14 15:14,174.7970,91.3910,52.28%,40.5800,50.8110
2025-10-14 15:15,230.4990,136.5790,59.25%,78.6440,57.9350
2025-10-14 15:16,238.8200,123.7680,51.82%,51.6230,72.1450
2025-10-14 15:17,174.5210,94.6250,54.22%,49.5520,45.0730
2025-10-14 15:18,229.5350,135.0730,58.85%,50.9400,84.1330
2025-10-14 15:19,131.4740,67.7020,51.49%,20.8560,46.8460
2025-10-14 15:20,244.7470,138.0600,56.41%,60.2870,77.7730
2025-10-14 15:21,231.3680,122.8890,53.11%,67.9710,54.9180
2025-10-14 15:22,146.9820,82.0940,55.85%,51.8370,30.2570
2025-10-14 15:23,140.7000,79.1060,56.22%,38.5450,40.5610
2025-10-14 15:24,124.5930,65.2790,52.39%,35.4220,29.8570
2025-10-14 15:25,134.4170,67.2400,50.02%,39.9750,27.2650
2025-10-14 15:26,119.5970,59.1220,49.43%,40.3760,18.7460
2025-10-14 15:27,227.2480,126.0020,55.45%,59.6550,66.3470
2025-10-14 15:28,138.6390,81.4130,58.72%,44.4070,37.0060
2025-10-14 15:29,131.0160,79.7180,60.85%,35.7440,43.9740
2025-10-14 15:30,178.8240,101.7030,56.87%,38.8710,62.8320
2025-10-14 15:31,178.2320,90.4670,50.76%,45.6120,44.8550
2025-10-14 15:32,202.8550,120.8900,59.59%,68.4880,52.4020
2025-10-14 15:33,208.6770,97.9610,46.94%,62.9500,35.0110
2025-10-14 15:34,197.2760,104.5340,52.99%,73.9310,30.6030
2025-10-14 15:35,195.9650,109.4930,55.87%,56.5130,52.9800
2025-10-14 15:36,372.9740,188.0190,50.41%,90.2540,97.7650
2025-10-14 15:37,563.6070,266.5260,47.29%,70.2940,196.2320
2025-10-14 15:38,719.2520,359.7370,50.02%,205.2980,154.4390
2025-10-14 15:39,243.0300,129.7290,53.38%,62.6230,67.1060
2025-10-14 15:40,401.0700,215.5190,53.74%,130.3350,85.1840
2025-10-14 15:41,245.1510,127.8980,52.17%,63.7800,64.1180
2025-10-14 15:42,228.2510,128.5600,56.32%,57.0490,71.5110
2025-10-14 15:43,177.0260,92.0120,51.98%,50.4670,41.5450
