时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-14 12:15,10.4080,6.1180,58.78%,1.3200,4.7980
2025-10-14 12:30,73.0030,46.8170,64.13%,44.5870,2.2300
2025-10-14 13:00,168.5930,90.2530,53.53%,0.5360,89.7170
2025-10-14 13:15,1015.2070,762.4130,75.10%,575.2900,187.1230
2025-10-14 13:30,2342.4280,1343.6650,57.36%,620.8110,722.8540
2025-10-14 13:45,3015.4610,1679.0220,55.68%,815.2640,863.7580
2025-10-14 14:00,2016.2260,1062.4990,52.70%,529.9050,532.5940
2025-10-14 14:15,570.4180,283.1400,49.64%,124.5980,158.5420
2025-10-14 14:30,4935.8230,2592.9540,52.53%,1146.3570,1446.5970
2025-10-14 14:45,7108.0080,3699.9560,52.05%,1859.2090,1840.7470
2025-10-14 15:00,3303.9360,1814.2560,54.91%,917.0650,897.1910
2025-10-14 15:15,2644.1560,1458.6700,55.17%,725.8340,732.8360
2025-10-14 15:30,4320.6180,2251.1880,52.10%,1133.5430,1117.6450
2025-10-14 15:45,2856.4240,1528.0730,53.50%,771.6760,756.3970
2025-10-14 16:00,2618.9310,1489.4220,56.87%,762.3880,727.0340
2025-10-14 16:15,2039.4570,1135.0840,55.66%,593.6740,541.4100
2025-10-14 16:30,2184.6540,1214.8440,55.61%,653.2550,561.5890
2025-10-14 17:45,54.3190,21.8160,40.16%,12.0800,9.7360
2025-10-14 18:00,115.2130,56.1630,48.75%,13.3030,42.8600
