时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-14 12:25,10.4080,6.1180,58.78%,1.3200,4.7980
2025-10-14 12:30,148.2700,122.7910,82.82%,122.7910,0.0000
2025-10-14 12:35,4.8250,2.3720,49.16%,1.7570,0.6150
2025-10-14 12:40,73.0030,46.8170,64.13%,44.5870,2.2300
2025-10-14 13:00,228.2790,106.1740,46.51%,78.1200,28.0540
2025-10-14 13:05,61.7830,32.4470,52.52%,27.0640,5.3830
2025-10-14 13:10,168.5930,90.2530,53.53%,0.5360,89.7170
2025-10-14 13:15,374.4410,208.0890,55.57%,137.9360,70.1530
2025-10-14 13:20,834.0960,438.7310,52.60%,234.8140,203.9170
2025-10-14 13:25,1015.2070,762.4130,75.10%,575.2900,187.1230
2025-10-14 13:30,2616.5990,1486.8190,56.82%,284.5960,1202.2230
2025-10-14 13:35,166.1300,91.0870,54.83%,45.2260,45.8610
2025-10-14 13:40,2176.2980,1252.5780,57.56%,575.5850,676.9930
2025-10-14 13:45,1154.8730,647.3270,56.05%,337.9560,309.3710
2025-10-14 13:50,845.5730,463.6520,54.83%,247.2200,216.4320
2025-10-14 13:55,1015.0150,568.0430,55.96%,230.0880,337.9550
2025-10-14 14:00,937.2290,510.5170,54.47%,252.7850,257.7320
2025-10-14 14:05,516.5120,250.5850,48.51%,121.4380,129.1470
2025-10-14 14:10,562.4850,301.3970,53.58%,155.6820,145.7150
2025-10-14 14:15,2.6080,0.0000,0.00%,0.0000,0.0000
2025-10-14 14:20,1076.6160,565.4340,52.52%,232.3590,333.0750
2025-10-14 14:25,570.4180,283.1400,49.64%,124.5980,158.5420
2025-10-14 14:30,1847.7700,989.5810,53.56%,419.3620,570.2190
2025-10-14 14:35,887.7160,466.0030,52.49%,236.6770,229.3260
2025-10-14 14:40,2200.3370,1137.3700,51.69%,490.3180,647.0520
2025-10-14 14:45,3484.4560,1676.9210,48.13%,831.5780,845.3430
2025-10-14 14:50,2721.0160,1517.5070,55.77%,793.1810,724.3260
2025-10-14 14:55,902.5360,505.5280,56.01%,234.4500,271.0780
2025-10-14 15:00,1196.6440,626.2010,52.33%,303.1510,323.0500
2025-10-14 15:05,1274.4280,736.2070,57.77%,367.0220,369.1850
2025-10-14 15:10,832.8640,451.8480,54.25%,246.8920,204.9560
2025-10-14 15:15,1004.8490,557.7470,55.51%,251.6150,306.1320
2025-10-14 15:20,888.3900,487.4280,54.87%,254.0620,233.3660
2025-10-14 15:25,750.9170,413.4950,55.07%,220.1570,193.3380
2025-10-14 15:30,965.8640,515.5550,53.38%,289.8520,225.7030
2025-10-14 15:35,2094.8280,1053.5040,50.29%,484.9820,568.5220
2025-10-14 15:40,1259.9260,682.1290,54.14%,358.7090,323.4200
2025-10-14 15:45,1129.6020,597.1830,52.87%,299.2130,297.9700
2025-10-14 15:50,803.1560,431.8030,53.76%,219.6990,212.1040
2025-10-14 15:55,923.6660,499.0870,54.03%,252.7640,246.3230
2025-10-14 16:00,506.2320,297.2100,58.71%,145.9870,151.2230
2025-10-14 16:05,1145.8660,657.1740,57.35%,303.1170,354.0570
2025-10-14 16:10,966.8330,535.0380,55.34%,313.2840,221.7540
2025-10-14 16:15,635.7290,353.5520,55.61%,152.9140,200.6380
2025-10-14 16:20,533.6450,300.1550,56.25%,166.8920,133.2630
2025-10-14 16:25,870.0830,481.3770,55.33%,273.8680,207.5090
2025-10-14 16:30,1154.0590,619.7850,53.70%,359.6070,260.1780
2025-10-14 16:35,707.5260,420.4570,59.43%,201.8630,218.5940
2025-10-14 16:40,323.0690,174.6020,54.04%,91.7850,82.8170
2025-10-14 17:55,54.3190,21.8160,40.16%,12.0800,9.7360
2025-10-14 18:00,115.2130,56.1630,48.75%,13.3030,42.8600
